Front	Back	Tags
[숫자 암기] (계약예규) 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 며칠 이내에 계약을 체결하여야 하는가?<br><br>① 3일<br>② 5일<br>③ 7일<br>④ 10일	<b>정답</b>: ④ 10일<br><br>협상에 의한 계약체결기준의 계약 체결 기한은 협상 성립 후 10일 이내다. 숫자형 문제이므로 단위까지 함께 기억해야 한다.<br><br><b>근거</b>: 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 10일 이내에 계약을 체결하여야 한다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M3.SB4.D2 numeric source
협상계약 절차 및 낙찰자 결정에서 조심할 선택지는?<br><br>(계약예규) 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 며칠 이내에 계약을 체결하여야 하는가?	① 3일 — 3일은 협상 성립 후 계약 체결 기한이 아니다.<br>② 5일 — 5일은 협상 성립 후 계약 체결 기한이 아니다.<br>③ 7일 — 7일은 협상 성립 후 계약 체결 기한이 아니다.<br>④ 10일 — 10일 이내가 협상 성립 후 계약 체결 기한이므로 정답이다.<br><br><b>난이도</b>: 중요	subject_2 S2.M3.SB4.D2 numeric trap
[핵심개념] 시장조사 방법	<b>출제 포인트</b>: 시장조사는 기존 구매·계약자료, 가격자료, 공급업체 현황, 제품 및 기술 동향 등을 검토하여 조달계획 수립의 기초자료로 활용한다.<br><br><b>문제 연결</b>: 시장조사는 가격자료와 계약자료, 공급업체 및 기술 동향을 확인하는 절차다. 입찰공고 후 시장가격 정보를 전혀 검토하지 않는다는 단정은 부적절하다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#시장조사	subject_2 S2.M1.SB2.D1 box-multi concept
[박스 다중선택] 공공조달계획 수립 단계의 시장조사 방법으로 적절한 것을 모두 고른 것은?<br><br>ㄱ. 기존 계약자료와 가격자료를 확인한다.<br>ㄴ. 공급 가능한 업체와 제품의 기술 동향을 조사한다.<br>ㄷ. 입찰공고 후에는 시장가격 정보를 검토하지 않는다.<br><br>① ㄱ, ㄴ<br>② ㄱ, ㄷ<br>③ ㄴ, ㄷ<br>④ ㄱ, ㄴ, ㄷ	<b>정답</b>: ① ㄱ, ㄴ<br><br>시장조사는 가격자료와 계약자료, 공급업체 및 기술 동향을 확인하는 절차다. 입찰공고 후 시장가격 정보를 전혀 검토하지 않는다는 단정은 부적절하다.<br><br><b>근거</b>: 시장조사는 기존 구매·계약자료, 가격자료, 공급업체 현황, 제품 및 기술 동향 등을 검토하여 조달계획 수립의 기초자료로 활용한다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#시장조사	subject_2 S2.M1.SB2.D1 box-multi source
시장조사 방법에서 조심할 선택지는?<br><br>공공조달계획 수립 단계의 시장조사 방법으로 적절한 것을 모두 고른 것은?	① ㄱ, ㄴ — ㄱ과 ㄴ은 시장조사 방법에 해당하고 ㄷ은 부적절하므로 정답이다.<br>② ㄱ, ㄷ — ㄷ은 시장가격 검토를 배제하는 단정이어서 시장조사 취지와 맞지 않는다.<br>③ ㄴ, ㄷ — ㄷ이 포함되어 오답이고, ㄱ도 함께 고려해야 한다.<br>④ ㄱ, ㄴ, ㄷ — ㄷ이 부적절하므로 모두 고른 조합은 정답이 아니다.<br><br><b>난이도</b>: 기초	subject_2 S2.M1.SB2.D1 box-multi trap
[핵심개념] 일반경쟁	<b>출제 포인트</b>: 일반경쟁은 일정한 자격을 갖춘 불특정 다수인이 입찰에 참여할 수 있도록 하는 경쟁적 공공조달 방법이다.<br><br><b>문제 연결</b>: 불특정 다수인이 입찰에 참여할 수 있다는 점이 일반경쟁의 핵심이다. 제한경쟁과 지명경쟁은 참여 범위를 좁히고, 수의계약은 경쟁입찰 방식이 아니다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#경쟁적-공공조달-방법	subject_1 S1.M2.SB3.D1 box-blank concept
[박스 빈칸] 다음 공공조달 방법 설명의 ( )에 들어갈 말은?<br><br><div style='border-left:3px solid #6f8f73;padding-left:10px'>( )은 일정한 자격을 갖춘 불특정 다수인이 입찰에 참여할 수 있도록 하는 경쟁적 공공조달 방법이다.</div><br><br>① 일반경쟁<br>② 제한경쟁<br>③ 지명경쟁<br>④ 수의계약	<b>정답</b>: ① 일반경쟁<br><br>불특정 다수인이 입찰에 참여할 수 있다는 점이 일반경쟁의 핵심이다. 제한경쟁과 지명경쟁은 참여 범위를 좁히고, 수의계약은 경쟁입찰 방식이 아니다.<br><br><b>근거</b>: 일반경쟁은 일정한 자격을 갖춘 불특정 다수인이 입찰에 참여할 수 있도록 하는 경쟁적 공공조달 방법이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#경쟁적-공공조달-방법	subject_1 S1.M2.SB3.D1 box-blank source
일반경쟁에서 조심할 선택지는?<br><br>다음 공공조달 방법 설명의 ( )에 들어갈 말은?	① 일반경쟁 — 일반경쟁은 불특정 다수의 입찰 참여를 전제로 하므로 정답이다.<br>② 제한경쟁 — 제한경쟁은 일정한 요건으로 참가 범위를 제한하므로 빈칸 설명과 다르다.<br>③ 지명경쟁 — 지명경쟁은 발주기관이 지명한 자를 대상으로 하므로 불특정 다수 참여와 다르다.<br>④ 수의계약 — 수의계약은 경쟁절차 없이 특정 상대방과 계약하는 방식이므로 오답이다.<br><br><b>난이도</b>: 기초	subject_1 S1.M2.SB3.D1 box-blank trap
[핵심개념] 전자조달시스템 개념	<b>출제 포인트</b>: 전자조달시스템은 공고, 입찰, 계약 등 공공조달 절차를 정보통신기술을 활용하여 전자적으로 처리하고 관리하는 시스템이다.<br><br><b>문제 연결</b>: 전자조달시스템은 조달 절차 전반을 전자적으로 처리하고 관리하도록 지원한다. 특정 회계 단계나 내부 결재에 한정되지 않는다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#전자조달시스템-개요	subject_1 S1.M3.SB1.D1 positive concept
[기본형] 전자조달시스템에 대한 설명으로 가장 적절한 것은?<br><br>① 조달 과정의 공고, 입찰, 계약 등 절차를 전자적으로 처리하도록 지원하는 시스템이다.<br>② 계약 체결 이후 대금 지급 단계만 전자적으로 처리하는 회계 전용 시스템이다.<br>③ 수요기관 내부 결재만 처리하며 공급업체는 이용하지 않는 폐쇄형 시스템이다.<br>④ 수의계약을 자동 승인하기 위해 경쟁입찰 절차를 생략하는 시스템이다.	<b>정답</b>: ① 조달 과정의 공고, 입찰, 계약 등 절차를 전자적으로 처리하도록 지원하는 시스템이다.<br><br>전자조달시스템은 조달 절차 전반을 전자적으로 처리하고 관리하도록 지원한다. 특정 회계 단계나 내부 결재에 한정되지 않는다.<br><br><b>근거</b>: 전자조달시스템은 공고, 입찰, 계약 등 공공조달 절차를 정보통신기술을 활용하여 전자적으로 처리하고 관리하는 시스템이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#전자조달시스템-개요	subject_1 S1.M3.SB1.D1 positive source
전자조달시스템 개념에서 조심할 선택지는?<br><br>전자조달시스템에 대한 설명으로 가장 적절한 것은?	① 조달 과정의 공고, 입찰, 계약 등 절차를 전자적으로 처리하도록 지원하는 시스템이다. — 공고, 입찰, 계약 등 조달 절차 전반을 전자적으로 처리한다는 설명이므로 정답이다.<br>② 계약 체결 이후 대금 지급 단계만 전자적으로 처리하는 회계 전용 시스템이다. — 대금 지급 단계만 처리하는 시스템으로 한정할 수 없다.<br>③ 수요기관 내부 결재만 처리하며 공급업체는 이용하지 않는 폐쇄형 시스템이다. — 전자조달시스템은 수요기관과 공급업체가 함께 활용하는 조달 절차 기반 시스템이다.<br>④ 수의계약을 자동 승인하기 위해 경쟁입찰 절차를 생략하는 시스템이다. — 전자조달시스템은 절차를 전자화하는 것이지 경쟁입찰 절차를 생략하는 장치가 아니다.<br><br><b>난이도</b>: 기초	subject_1 S1.M3.SB1.D1 positive trap
[핵심개념] 공공조달의 정의	<b>출제 포인트</b>: 기본적이면서 협의의 관점에서는 조달 대상물의 공급에 초점을 맞추어 정부나 지방자치단체, 공기업, 준정부기관 같은 공공기관이 국민의 세금을 재원으로 한 공공재정을 활용해 필요한 물품이나 용역(서비스), 공사를 구매하는 일련의 연계된 활동으로 정의할 수 있다.<br><br><b>문제 연결</b>: 협의(전통적) 정의는 조달 대상물의 공급에 초점을 맞춘 구매활동이고, 광의(현대적) 정의는 그 구매활동을 통해 정부정책·제도의 성과를 지원하는 전략적 활용까지 포함한다. 협의와 광의의 설명이 뒤바뀌는 함정에 주의해야 한다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-제1절-공공조달의-정의	subject_1 S1.M1.SB1.D1 concept-diff concept
[개념 구별] 공공조달의 정의에 관한 설명으로 옳은 것은?<br><br>① 협의의 공공조달은 공공서비스의 실행·관리에 필요한 구매활동을 통해 정부정책과 제도의 성과를 지원하는 활동이다.<br>② 광의의 공공조달은 조달 대상물의 공급에만 초점을 맞춘 전통적 정의에 해당한다.<br>③ 협의의 공공조달은 공공기관이 국민의 세금을 재원으로 한 공공재정을 활용해 필요한 물품·용역·공사를 구매하는 일련의 연계된 활동이다.<br>④ 공공조달은 조달기관이 자체 영리활동으로 조성한 수익을 기본 재원으로 한다.	<b>정답</b>: ③ 협의의 공공조달은 공공기관이 국민의 세금을 재원으로 한 공공재정을 활용해 필요한 물품·용역·공사를 구매하는 일련의 연계된 활동이다.<br><br>협의(전통적) 정의는 조달 대상물의 공급에 초점을 맞춘 구매활동이고, 광의(현대적) 정의는 그 구매활동을 통해 정부정책·제도의 성과를 지원하는 전략적 활용까지 포함한다. 협의와 광의의 설명이 뒤바뀌는 함정에 주의해야 한다.<br><br><b>근거</b>: 기본적이면서 협의의 관점에서는 조달 대상물의 공급에 초점을 맞추어 정부나 지방자치단체, 공기업, 준정부기관 같은 공공기관이 국민의 세금을 재원으로 한 공공재정을 활용해 필요한 물품이나 용역(서비스), 공사를 구매하는 일련의 연계된 활동으로 정의할 수 있다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-제1절-공공조달의-정의	subject_1 S1.M1.SB1.D1 concept-diff source
공공조달의 정의에서 조심할 선택지는?<br><br>공공조달의 정의에 관한 설명으로 옳은 것은?	① 협의의 공공조달은 공공서비스의 실행·관리에 필요한 구매활동을 통해 정부정책과 제도의 성과를 지원하는 활동이다. — 정책·제도의 성과를 지원하는 활동은 광의(현대적) 정의에 해당하므로 협의로 볼 수 없다.<br>② 광의의 공공조달은 조달 대상물의 공급에만 초점을 맞춘 전통적 정의에 해당한다. — 조달 대상물의 공급에만 초점을 맞춘 것은 협의(전통적) 정의이다.<br>③ 협의의 공공조달은 공공기관이 국민의 세금을 재원으로 한 공공재정을 활용해 필요한 물품·용역·공사를 구매하는 일련의 연계된 활동이다. — 공공재정을 활용한 물품·용역·공사의 구매활동이라는 협의의 정의를 정확히 서술하여 정답이다.<br>④ 공공조달은 조달기관이 자체 영리활동으로 조성한 수익을 기본 재원으로 한다. — 공공조달의 재원은 국민의 세금을 재원으로 한 공공재정이며 자체 영리 수익이 아니다.<br><br><b>난이도</b>: 함정	subject_1 S1.M1.SB1.D1 concept-diff trap
[핵심개념] 공공조달의 목적	<b>출제 포인트</b>: 공공조달의 목표는 정의에 따라 크게 세 가지 차원에서 살펴볼 수 있다. 첫째는 필요한 물품이나 용역(서비스), 공사를 효율성과 효과성을 모두 고려해 공급하는 것이다. 둘째는 법령과 규정, 절차에 부합하도록 책임감 있게 수행해 경쟁성, 투명성, 공정성, 청렴성 등 핵심 가치와 원칙이 준수되도록 하는 것이다. 마지막으로는 국가적 수준에서 정부의 정책과 제도의 실행, 성과를 지원하고 주도하는 역할을 수행하는 것이다.<br><br><b>문제 연결</b>: 공공조달의 목표는 ①효율성·효과성을 고려한 공급, ②법령·절차 준수와 핵심 가치 구현, ③정부 정책·제도의 실행 지원 세 가지다. 조달기관 자체의 이익 창출은 민간의 상업적 구매 목적이지 공공조달의 목적이 아니다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-1.4-공공조달의-목적	subject_1 S1.M1.SB1.D2 box-multi concept
[박스 다중선택] 공공조달의 목표(목적)에 해당하는 것을 모두 고른 것은?<br><br>ㄱ. 공공부문의 기능과 역할 수행에 필요한 물품·용역(서비스)·공사를 효율성과 효과성을 모두 고려해 공급하는 것<br>ㄴ. 법령과 규정, 절차에 부합하도록 책임감 있게 수행해 경쟁성·투명성·공정성·청렴성이 준수되도록 하는 것<br>ㄷ. 조달기관의 이익 창출을 극대화해 기관의 자체 재정수입을 확대하는 것<br><br>① ㄱ, ㄴ<br>② ㄱ, ㄷ<br>③ ㄴ, ㄷ<br>④ ㄱ, ㄴ, ㄷ	<b>정답</b>: ① ㄱ, ㄴ<br><br>공공조달의 목표는 ①효율성·효과성을 고려한 공급, ②법령·절차 준수와 핵심 가치 구현, ③정부 정책·제도의 실행 지원 세 가지다. 조달기관 자체의 이익 창출은 민간의 상업적 구매 목적이지 공공조달의 목적이 아니다.<br><br><b>근거</b>: 공공조달의 목표는 정의에 따라 크게 세 가지 차원에서 살펴볼 수 있다. 첫째는 필요한 물품이나 용역(서비스), 공사를 효율성과 효과성을 모두 고려해 공급하는 것이다. 둘째는 법령과 규정, 절차에 부합하도록 책임감 있게 수행해 경쟁성, 투명성, 공정성, 청렴성 등 핵심 가치와 원칙이 준수되도록 하는 것이다. 마지막으로는 국가적 수준에서 정부의 정책과 제도의 실행, 성과를 지원하고 주도하는 역할을 수행하는 것이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-1.4-공공조달의-목적	subject_1 S1.M1.SB1.D2 box-multi source
공공조달의 목적에서 조심할 선택지는?<br><br>공공조달의 목표(목적)에 해당하는 것을 모두 고른 것은?	① ㄱ, ㄴ — ㄱ과 ㄴ은 공공조달 목표의 첫째·둘째 차원에 그대로 해당하므로 정답이다.<br>② ㄱ, ㄷ — ㄷ은 영리 추구로서 공공조달의 목적이 아니므로 포함될 수 없다.<br>③ ㄴ, ㄷ — ㄱ이 빠져 있고 ㄷ이 포함되어 오답이다.<br>④ ㄱ, ㄴ, ㄷ — ㄷ까지 모두 고르면 영리 추구를 공공조달 목적으로 인정하게 되어 오답이다.<br><br><b>난이도</b>: 기초	subject_1 S1.M1.SB1.D2 box-multi trap
[핵심개념] 공공조달의 범위	<b>출제 포인트</b>: 공공조달의 범위는 물품, 용역(서비스) 및 공사 등 일차적인 구매 대상을 통해, 정부 및 지자체 등 공공부문이 담당해야 할 기능과 역할을 주도하거나 지원할 수 있는 분야를 실질적인 공공조달의 범위로 볼 수 있다.<br><br><b>문제 연결</b>: 공공조달의 범위는 구매 대상물(물품·용역·공사)에서 출발하되, 그 구매를 통해 공공부문의 기능과 역할을 주도·지원할 수 있는 분야까지를 실질적 범위로 본다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-공공조달의-범위	subject_1 S1.M1.SB1.D3 positive concept
[기본형] 공공조달의 범위에 대한 설명으로 가장 적절한 것은?<br><br>① 물품·용역(서비스)·공사 등 일차적 구매 대상을 통해 공공부문이 담당할 기능과 역할을 주도하거나 지원할 수 있는 분야까지를 실질적 범위로 본다.<br>② 물품 구매에 한정되며 용역(서비스)과 공사는 공공조달의 범위에서 제외된다.<br>③ 공공기관 내부의 인사·조직 관리 활동까지 포함하는 개념이다.<br>④ 공공재정이 투입되지 않는 민간기업의 구매활동도 공공조달의 범위에 포함된다.	<b>정답</b>: ① 물품·용역(서비스)·공사 등 일차적 구매 대상을 통해 공공부문이 담당할 기능과 역할을 주도하거나 지원할 수 있는 분야까지를 실질적 범위로 본다.<br><br>공공조달의 범위는 구매 대상물(물품·용역·공사)에서 출발하되, 그 구매를 통해 공공부문의 기능과 역할을 주도·지원할 수 있는 분야까지를 실질적 범위로 본다.<br><br><b>근거</b>: 공공조달의 범위는 물품, 용역(서비스) 및 공사 등 일차적인 구매 대상을 통해, 정부 및 지자체 등 공공부문이 담당해야 할 기능과 역할을 주도하거나 지원할 수 있는 분야를 실질적인 공공조달의 범위로 볼 수 있다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-공공조달의-범위	subject_1 S1.M1.SB1.D3 positive source
공공조달의 범위에서 조심할 선택지는?<br><br>공공조달의 범위에 대한 설명으로 가장 적절한 것은?	① 물품·용역(서비스)·공사 등 일차적 구매 대상을 통해 공공부문이 담당할 기능과 역할을 주도하거나 지원할 수 있는 분야까지를 실질적 범위로 본다. — 구매 대상을 통해 공공부문의 기능·역할을 주도·지원하는 분야까지를 범위로 본다는 서술로 정답이다.<br>② 물품 구매에 한정되며 용역(서비스)과 공사는 공공조달의 범위에서 제외된다. — 공공조달의 일차적 구매 대상에는 물품과 함께 용역(서비스)과 공사가 포함된다.<br>③ 공공기관 내부의 인사·조직 관리 활동까지 포함하는 개념이다. — 공공조달의 범위는 조달 대상물의 구매를 축으로 하며 기관 내부의 인사·조직 관리는 해당하지 않는다.<br>④ 공공재정이 투입되지 않는 민간기업의 구매활동도 공공조달의 범위에 포함된다. — 공공재정을 재원으로 한다는 점이 공공조달의 전제이므로 민간기업의 자체 구매는 포함되지 않는다.<br><br><b>난이도</b>: 기초	subject_1 S1.M1.SB1.D3 positive trap
[핵심개념] 공공조달 이해관계자	<b>출제 포인트</b>: 공공조달 정책을 둘러싸고 있는 참여자 및 이해관계자는 크게 정부, 기업, 시민사회, 국민으로 구성된다. 정부 등 공공기관은 구매자로서 최종 사용자, 사업 담당자, 기관과 부서의 책임자 또는 기금의 책임자 등의 역할을 수행한다.<br><br><b>문제 연결</b>: 참여자·이해관계자는 정부, 기업, 시민사회, 국민의 네 축으로 구성된다. 시민사회와 국민을 누락시키는 선택지가 전형적인 오답 함정이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-제2절-공공조달-참여자-이해관계자	subject_1 S1.M1.SB2.D3 negative concept
[부정형] 공공조달의 참여자 및 이해관계자에 대한 설명으로 옳지 않은 것은?<br><br>① 정부 등 공공기관은 구매자로서 최종 사용자, 사업 담당자, 기관과 부서의 책임자 등의 역할을 수행한다.<br>② 기업은 공급자로서 국적에 따라 국내기업과 외국기업으로 구분된다.<br>③ 공공조달의 참여자 및 이해관계자는 정부와 기업 두 축으로만 구성된다.<br>④ 국민은 납세자로서 공공조달 재정을 조성하고 실행·관리 과정을 감시하는 최종적 수요자이다.	<b>정답</b>: ③ 공공조달의 참여자 및 이해관계자는 정부와 기업 두 축으로만 구성된다.<br><br>참여자·이해관계자는 정부, 기업, 시민사회, 국민의 네 축으로 구성된다. 시민사회와 국민을 누락시키는 선택지가 전형적인 오답 함정이다.<br><br><b>근거</b>: 공공조달 정책을 둘러싸고 있는 참여자 및 이해관계자는 크게 정부, 기업, 시민사회, 국민으로 구성된다. 정부 등 공공기관은 구매자로서 최종 사용자, 사업 담당자, 기관과 부서의 책임자 또는 기금의 책임자 등의 역할을 수행한다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-제2절-공공조달-참여자-이해관계자	subject_1 S1.M1.SB2.D3 negative source
공공조달 이해관계자에서 조심할 선택지는?<br><br>공공조달의 참여자 및 이해관계자에 대한 설명으로 옳지 않은 것은?	① 정부 등 공공기관은 구매자로서 최종 사용자, 사업 담당자, 기관과 부서의 책임자 등의 역할을 수행한다. — 정부 등 공공기관이 구매자로서 수행하는 역할을 정확히 서술했다.<br>② 기업은 공급자로서 국적에 따라 국내기업과 외국기업으로 구분된다. — 기업은 국적에 따라 국내기업·외국기업으로, 규모에 따라 대기업~소상공인으로 구분된다.<br>③ 공공조달의 참여자 및 이해관계자는 정부와 기업 두 축으로만 구성된다. — 참여자·이해관계자는 정부, 기업, 시민사회, 국민으로 구성되므로 두 축으로 한정한 서술은 옳지 않다.<br>④ 국민은 납세자로서 공공조달 재정을 조성하고 실행·관리 과정을 감시하는 최종적 수요자이다. — 국민은 납세자이자 조달결과를 경험하는 최종적 수요자이며 감시 기능도 수행한다.<br><br><b>난이도</b>: 중요	subject_1 S1.M1.SB2.D3 negative trap
[핵심개념] 상업적 구매행위 특성	<b>출제 포인트</b>: 민간의 상업적 구매는 공급업체를 선정하고, 계약을 체결해 납품받고, 대금을 지급하는 과정보다는 거래적 행위에 초점을 맞춘다는 특징이 있다. 공공조달과 민간조달은 기본적인 수행 목적, 법규 적용 범위와 수준, 실행 재원, 관리감독 기능과 실행, 관리 책임 측면에서 차이점이 있다.<br><br><b>문제 연결</b>: 상업적 구매는 기업 이익 추구를 위한 거래적 행위이며, 공공조달과는 수행 목적·법규 적용 범위·실행 재원·관리감독·책임 측면에서 구분된다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제1장-제3절-공공과-민간부문의-구매행위-특성-비교	subject_1 S1.M1.SB3.D1 concept-diff concept
