Front	Back	Tags
[박스 빈칸] 다음은 공급업체의 공급계획 수립 5단계이다. ( ㄱ )과 ( ㄴ )에 들어갈 단계로 옳은 것은?<br><br><div style='border-left:3px solid #6f8f73;padding-left:10px'>수요정보 수집 → ( ㄱ ) → ( ㄴ ) → 적정성 분석 → 공급계획 수립</div><br><br>① ㄱ: 공급환경분석, ㄴ: 내부공급역량분석<br>② ㄱ: 내부공급역량분석, ㄴ: 공급환경분석<br>③ ㄱ: 입찰공고 확인, ㄴ: 공급환경분석<br>④ ㄱ: 공급환경분석, ㄴ: 계약이행 관리	"<b>정답</b>: ① ㄱ: 공급환경분석, ㄴ: 내부공급역량분석<br><br>공급계획 수립은 수요정보 수집 → 공급환경분석 → 내부공급역량분석 → 적정성분석 → 공급계획수립의 5단계다. 외부 환경(공급환경)을 먼저 보고 내부 역량을 점검하는 순서가 핵심이다.<br><br><b>근거</b>: 공공조달을 체계적으로 준비하고 참여하기 위한 공급계획 수립은 ""수요정보 수집-공급환경분석-내부공급역량분석-적정성분석-공급계획수립""의 5단계로 구성된다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제3장-공급계획-수립-5단계"	subject_2 S2.M1.SB1.D3 box-blank source
공급계획 및 일정 수립에서 조심할 선택지는?<br><br>다음은 공급업체의 공급계획 수립 5단계이다. ( ㄱ )과 ( ㄴ )에 들어갈 단계로 옳은 것은?	① ㄱ: 공급환경분석, ㄴ: 내부공급역량분석 — 공급환경분석 다음에 내부공급역량분석이 오는 순서로 정답이다.<br>② ㄱ: 내부공급역량분석, ㄴ: 공급환경분석 — 외부 공급환경분석과 내부공급역량분석의 순서가 뒤바뀌었다.<br>③ ㄱ: 입찰공고 확인, ㄴ: 공급환경분석 — 입찰공고 확인은 5단계 절차에 포함된 단계가 아니다.<br>④ ㄱ: 공급환경분석, ㄴ: 계약이행 관리 — 계약이행 관리는 공급계획 수립 단계가 아니라 계약 체결 이후의 활동이다.<br><br><b>난이도</b>: 중요	subject_2 S2.M1.SB1.D3 box-blank trap
[핵심개념] 공급 대상물 수요정보 식별	<b>출제 포인트</b>: 잠재적 공급업체가 공급 가능한 물품, 서비스 및 공사에 대한 공급기회 탐색을 위해 입찰공고를 확인하는 것은 실제 공급기회 확보 가능성 측면에서 최적의 준비기간을 놓쳤다고 볼 수 있다.<br><br><b>문제 연결</b>: 입찰공고를 보고 나서야 기회를 인지하는 것은 이미 준비기간을 놓친 것이다. 사전규격공개 등 공고 이전 단계부터 수요정보를 수집해야 한다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제3장-수요정보-수집	subject_2 S2.M1.SB1.D1 negative concept
[부정형] 잠재적 공급업체의 수요정보 식별에 대한 설명으로 옳지 않은 것은?<br><br>① 이전 입찰공고문, 수의계약 안내공고문, 다수공급자계약 공고문 등을 검색해 조달방법을 확인해야 한다.<br>② 공급 희망 조달대상물이 어떤 조달방법으로 계약되는지를 먼저 확인할 필요가 있다.<br>③ 입찰공고를 확인하는 시점에 공급기회를 인지하는 것이 최적의 준비 방법이다.<br>④ 체계적인 참여를 위해서는 입찰공고 이전 단계부터 수요정보를 수집해야 한다.	<b>정답</b>: ③ 입찰공고를 확인하는 시점에 공급기회를 인지하는 것이 최적의 준비 방법이다.<br><br>입찰공고를 보고 나서야 기회를 인지하는 것은 이미 준비기간을 놓친 것이다. 사전규격공개 등 공고 이전 단계부터 수요정보를 수집해야 한다.<br><br><b>근거</b>: 잠재적 공급업체가 공급 가능한 물품, 서비스 및 공사에 대한 공급기회 탐색을 위해 입찰공고를 확인하는 것은 실제 공급기회 확보 가능성 측면에서 최적의 준비기간을 놓쳤다고 볼 수 있다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제3장-수요정보-수집	subject_2 S2.M1.SB1.D1 negative source
공급 대상물 수요정보 식별에서 조심할 선택지는?<br><br>잠재적 공급업체의 수요정보 식별에 대한 설명으로 옳지 않은 것은?	① 이전 입찰공고문, 수의계약 안내공고문, 다수공급자계약 공고문 등을 검색해 조달방법을 확인해야 한다. — 이전 공고문 검색을 통한 조달방법 확인은 권장되는 절차다.<br>② 공급 희망 조달대상물이 어떤 조달방법으로 계약되는지를 먼저 확인할 필요가 있다. — 공급 희망 대상물의 조달방법 확인은 준비의 출발점이다.<br>③ 입찰공고를 확인하는 시점에 공급기회를 인지하는 것이 최적의 준비 방법이다. — 입찰공고 확인 시점은 이미 최적의 준비기간을 놓친 것이므로 옳지 않다.<br>④ 체계적인 참여를 위해서는 입찰공고 이전 단계부터 수요정보를 수집해야 한다. — 공고 이전 단계부터의 정보 수집이 체계적 참여의 전제다.<br><br><b>난이도</b>: 함정	subject_2 S2.M1.SB1.D1 negative trap
[핵심개념] 공급 의사결정을 위한 비용 분석	<b>출제 포인트</b>: 계약목적물을 획득에 소요되는 비용의 산정은 동일거나 유사한 물품이나 서비스, 공사의 거래실례가격, 원가계산가격, 조사가격 등에 따라 시행하고, 가격 표시가 없는 경우에는 견적가격이나 감정가격 등으로 산정한다.<br><br><b>문제 연결</b>: 비용 산정 기준은 거래실례가격·원가계산가격·조사가격이 원칙이고, 가격 표시가 없으면 견적가격·감정가격을 쓴다. 다만 산정 결과는 수요기관 예산 범위 내에서 조정을 거쳐 반영되는 것이 일반적이다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제3장-비용-산정-기준	subject_2 S2.M1.SB3.D1 positive concept
[기본형] 공공조달 입찰에서 계약목적물 획득에 소요되는 비용 산정에 대한 설명으로 옳은 것은?<br><br>① 동일하거나 유사한 물품·서비스·공사의 거래실례가격, 원가계산가격, 조사가격 등에 따라 시행하고, 가격 표시가 없는 경우 견적가격이나 감정가격으로 산정한다.<br>② 산정된 비용은 조정 없이 그대로 예산에 반영되는 것이 원칙이다.<br>③ 거래실례가격과 원가계산가격은 시기나 요구조건과 무관하게 항상 동일한 기준으로 비교할 수 있다.<br>④ 비용 산정은 오직 감정가격만을 근거로 해야 한다.	<b>정답</b>: ① 동일하거나 유사한 물품·서비스·공사의 거래실례가격, 원가계산가격, 조사가격 등에 따라 시행하고, 가격 표시가 없는 경우 견적가격이나 감정가격으로 산정한다.<br><br>비용 산정 기준은 거래실례가격·원가계산가격·조사가격이 원칙이고, 가격 표시가 없으면 견적가격·감정가격을 쓴다. 다만 산정 결과는 수요기관 예산 범위 내에서 조정을 거쳐 반영되는 것이 일반적이다.<br><br><b>근거</b>: 계약목적물을 획득에 소요되는 비용의 산정은 동일거나 유사한 물품이나 서비스, 공사의 거래실례가격, 원가계산가격, 조사가격 등에 따라 시행하고, 가격 표시가 없는 경우에는 견적가격이나 감정가격 등으로 산정한다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제3장-비용-산정-기준	subject_2 S2.M1.SB3.D1 positive source
공급 의사결정을 위한 비용 분석에서 조심할 선택지는?<br><br>공공조달 입찰에서 계약목적물 획득에 소요되는 비용 산정에 대한 설명으로 옳은 것은?	① 동일하거나 유사한 물품·서비스·공사의 거래실례가격, 원가계산가격, 조사가격 등에 따라 시행하고, 가격 표시가 없는 경우 견적가격이나 감정가격으로 산정한다. — 비용 산정의 근거 가격과 보충적 가격을 정확히 서술해 정답이다.<br>② 산정된 비용은 조정 없이 그대로 예산에 반영되는 것이 원칙이다. — 산정된 비용은 수요기관이 확보·신청한 예산 범위 내에서 조정을 거쳐 반영되는 것이 일반적이다.<br>③ 거래실례가격과 원가계산가격은 시기나 요구조건과 무관하게 항상 동일한 기준으로 비교할 수 있다. — 원가계산에 따른 가격을 제외한 다른 가격은 시기·세부 요구조건에 따라 동일 기준으로 비교하기 어렵다.<br>④ 비용 산정은 오직 감정가격만을 근거로 해야 한다. — 감정가격은 가격 표시가 없는 경우의 보충적 산정 방법 중 하나일 뿐이다.<br><br><b>난이도</b>: 중요	subject_2 S2.M1.SB3.D1 positive trap
[핵심개념] 적정 공급비용 산정	<b>출제 포인트</b>: ‘가격’은 해당 계약목적물의 조달을 위해 지급하는 교환가치에 해당하는 금액이며, ‘비용(Cost)’은 해당 가격에 운송비나 운영비, 폐기비 같은 계약목적물과 관련해 지출되는 비용을 모두 더한 금액으로 서로 구분된다. 그러나 통상적으로 입찰에서 입찰금액은 이들 가격과 비용이 모두 합산된 금액이며, 가격평가 역시 이를 모두 포함한 금액을 기준으로 평가한다.<br><br><b>문제 연결</b>: 가격은 교환가치, 비용은 가격 + 운송비·운영비·폐기비 등 부대 지출이다. 다만 실제 입찰금액과 가격평가는 둘을 합산한 금액을 기준으로 한다는 점을 함께 기억해야 한다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제2절-평가-가격과-비용의-구분	subject_2 S2.M1.SB3.D2 concept-diff concept
[개념 구별] 공공조달에서 ‘가격(Price)’과 ‘비용(Cost)’의 구분에 대한 설명으로 옳은 것은?<br><br>① 가격은 계약목적물 조달을 위해 지급하는 교환가치에 해당하는 금액이고, 비용은 그 가격에 운송비·운영비·폐기비 등을 모두 더한 금액이다.<br>② 비용은 교환가치에 해당하는 금액이고, 가격은 여기에 부대비용을 더한 금액이다.<br>③ 입찰금액은 가격만을 의미하며 비용 요소는 제외된다.<br>④ 가격평가는 운송비·운영비를 제외한 순수 교환가치만을 기준으로 한다.	<b>정답</b>: ① 가격은 계약목적물 조달을 위해 지급하는 교환가치에 해당하는 금액이고, 비용은 그 가격에 운송비·운영비·폐기비 등을 모두 더한 금액이다.<br><br>가격은 교환가치, 비용은 가격 + 운송비·운영비·폐기비 등 부대 지출이다. 다만 실제 입찰금액과 가격평가는 둘을 합산한 금액을 기준으로 한다는 점을 함께 기억해야 한다.<br><br><b>근거</b>: ‘가격’은 해당 계약목적물의 조달을 위해 지급하는 교환가치에 해당하는 금액이며, ‘비용(Cost)’은 해당 가격에 운송비나 운영비, 폐기비 같은 계약목적물과 관련해 지출되는 비용을 모두 더한 금액으로 서로 구분된다. 그러나 통상적으로 입찰에서 입찰금액은 이들 가격과 비용이 모두 합산된 금액이며, 가격평가 역시 이를 모두 포함한 금액을 기준으로 평가한다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제2절-평가-가격과-비용의-구분	subject_2 S2.M1.SB3.D2 concept-diff source
적정 공급비용 산정에서 조심할 선택지는?<br><br>공공조달에서 ‘가격(Price)’과 ‘비용(Cost)’의 구분에 대한 설명으로 옳은 것은?	① 가격은 계약목적물 조달을 위해 지급하는 교환가치에 해당하는 금액이고, 비용은 그 가격에 운송비·운영비·폐기비 등을 모두 더한 금액이다. — 가격과 비용의 정의를 정확히 구분해 정답이다.<br>② 비용은 교환가치에 해당하는 금액이고, 가격은 여기에 부대비용을 더한 금액이다. — 가격과 비용의 정의가 서로 뒤바뀌었다.<br>③ 입찰금액은 가격만을 의미하며 비용 요소는 제외된다. — 통상 입찰금액은 가격과 비용이 모두 합산된 금액이다.<br>④ 가격평가는 운송비·운영비를 제외한 순수 교환가치만을 기준으로 한다. — 가격평가 역시 가격과 비용을 모두 포함한 금액을 기준으로 한다.<br><br><b>난이도</b>: 함정	subject_2 S2.M1.SB3.D2 concept-diff trap
[핵심개념] 경쟁입찰참가자격 등록	<b>출제 포인트</b>: 물품으로 나라장터에 경쟁입찰참가자격 등록을 신청하는 경우, 직접 제조하는 경우는 제조업체로, 다른 제조업자의 물품을 구매해 공급(유통)하는 경우는 공급업체로 등록하는 과정에서 공장등록증과 직접생산확인기준(제조공정표) 등 제출서류가 달라진다.<br><br><b>문제 연결</b>: 제조업체 등록과 공급업체 등록은 제출서류(공장등록증, 직접생산확인기준 등)가 다르며, 제조 능력이 있더라도 제조업체로 등록하지 않으면 제조물품 입찰에 참가할 수 없다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제4장-경쟁입찰참가자격-등록	subject_2 S2.M2.SB1.D1 positive concept
[기본형] 나라장터 경쟁입찰참가자격 등록에 대한 설명으로 옳은 것은?<br><br>① 직접 제조하는 경우는 제조업체로, 다른 제조업자의 물품을 구매해 공급하는 경우는 공급업체로 등록하며 제출서류가 달라진다.<br>② 제조업체와 공급업체는 등록 구분 없이 동일한 서류를 제출한다.<br>③ 제조 능력이 있으면 해당 물품의 제조업체로 등록하지 않아도 제조물품 입찰에 참가할 수 있다.<br>④ 입찰참가자격 등록은 개찰일 이후에만 유효하게 인정된다.	<b>정답</b>: ① 직접 제조하는 경우는 제조업체로, 다른 제조업자의 물품을 구매해 공급하는 경우는 공급업체로 등록하며 제출서류가 달라진다.<br><br>제조업체 등록과 공급업체 등록은 제출서류(공장등록증, 직접생산확인기준 등)가 다르며, 제조 능력이 있더라도 제조업체로 등록하지 않으면 제조물품 입찰에 참가할 수 없다.<br><br><b>근거</b>: 물품으로 나라장터에 경쟁입찰참가자격 등록을 신청하는 경우, 직접 제조하는 경우는 제조업체로, 다른 제조업자의 물품을 구매해 공급(유통)하는 경우는 공급업체로 등록하는 과정에서 공장등록증과 직접생산확인기준(제조공정표) 등 제출서류가 달라진다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제4장-경쟁입찰참가자격-등록	subject_2 S2.M2.SB1.D1 positive source
경쟁입찰참가자격 등록에서 조심할 선택지는?<br><br>나라장터 경쟁입찰참가자격 등록에 대한 설명으로 옳은 것은?	① 직접 제조하는 경우는 제조업체로, 다른 제조업자의 물품을 구매해 공급하는 경우는 공급업체로 등록하며 제출서류가 달라진다. — 제조업체·공급업체 등록 구분과 제출서류 차이를 정확히 서술해 정답이다.<br>② 제조업체와 공급업체는 등록 구분 없이 동일한 서류를 제출한다. — 공장등록증, 직접생산확인기준 등 제출서류가 서로 다르다.<br>③ 제조 능력이 있으면 해당 물품의 제조업체로 등록하지 않아도 제조물품 입찰에 참가할 수 있다. — 제조 능력이 있어도 해당 물품의 제조업체로 등록하지 않으면 입찰에 참가할 수 없다.<br>④ 입찰참가자격 등록은 개찰일 이후에만 유효하게 인정된다. — 유효한 입찰참가자격 등록일은 입찰집행일(개찰일) 전을 기준으로 한다.<br><br><b>난이도</b>: 중요	subject_2 S2.M2.SB1.D1 positive trap
[핵심개념] 과업내용 적정성 검토	"<b>출제 포인트</b>: 사전규격공개는 입찰공고 이전 잠재적 공급업체와 관련 이해관계자(협회·조합 등 단체, 기업, 개인 등)에게 사전규격공개를 통해 공개된 주요 조달요구와 조건의 적정성 관련 의견을 최종 수렴하는 과정을 의미한다. 공급업체는 구매규격서(기술규격, 과업내용, 설계도, 평가기준 등)에서 추가나 삭제, 보완 등 개선의견이 있는 경우 규격공개 의견을 등록한다.<br><br><b>문제 연결</b>: 사전규격공개는 입찰공고 ""이전"" 단계의 의견 수렴 절차이며, 대상은 기술규격·과업내용·설계도·평가기준을 담은 구매규격서다. 단체뿐 아니라 기업·개인도 의견을 낼 수 있다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제4장-제2절-사전규격공개-분석"	subject_2 S2.M2.SB2.D1 positive concept
[기본형] 사전규격공개 제도에 대한 설명으로 옳은 것은?<br><br>① 입찰공고 이전에 잠재적 공급업체와 이해관계자에게 주요 조달요구와 조건의 적정성에 관한 의견을 수렴하는 절차다.<br>② 입찰공고와 동시에 진행되며 낙찰자 결정 직전까지 의견을 받는다.<br>③ 공개 대상은 예정가격에 한정되며 기술규격이나 과업내용은 제외된다.<br>④ 의견 제시 주체는 협회·조합 등 단체로 한정되고 개별 기업은 참여할 수 없다.	"<b>정답</b>: ① 입찰공고 이전에 잠재적 공급업체와 이해관계자에게 주요 조달요구와 조건의 적정성에 관한 의견을 수렴하는 절차다.<br><br>사전규격공개는 입찰공고 ""이전"" 단계의 의견 수렴 절차이며, 대상은 기술규격·과업내용·설계도·평가기준을 담은 구매규격서다. 단체뿐 아니라 기업·개인도 의견을 낼 수 있다.<br><br><b>근거</b>: 사전규격공개는 입찰공고 이전 잠재적 공급업체와 관련 이해관계자(협회·조합 등 단체, 기업, 개인 등)에게 사전규격공개를 통해 공개된 주요 조달요구와 조건의 적정성 관련 의견을 최종 수렴하는 과정을 의미한다. 공급업체는 구매규격서(기술규격, 과업내용, 설계도, 평가기준 등)에서 추가나 삭제, 보완 등 개선의견이 있는 경우 규격공개 의견을 등록한다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제4장-제2절-사전규격공개-분석"	subject_2 S2.M2.SB2.D1 positive source
과업내용 적정성 검토에서 조심할 선택지는?<br><br>사전규격공개 제도에 대한 설명으로 옳은 것은?	① 입찰공고 이전에 잠재적 공급업체와 이해관계자에게 주요 조달요구와 조건의 적정성에 관한 의견을 수렴하는 절차다. — 입찰공고 이전의 의견 수렴 절차라는 성격을 정확히 서술해 정답이다.<br>② 입찰공고와 동시에 진행되며 낙찰자 결정 직전까지 의견을 받는다. — 사전규격공개는 입찰공고 이전에 이루어지는 절차다.<br>③ 공개 대상은 예정가격에 한정되며 기술규격이나 과업내용은 제외된다. — 공개 대상은 기술규격, 과업내용, 설계도, 평가기준 등을 담은 구매규격서다.<br>④ 의견 제시 주체는 협회·조합 등 단체로 한정되고 개별 기업은 참여할 수 없다. — 협회·조합 등 단체뿐 아니라 기업, 개인도 의견 제시 주체에 포함된다.<br><br><b>난이도</b>: 중요	subject_2 S2.M2.SB2.D1 positive trap
[핵심개념] 입찰보증금 제출방법	<b>출제 포인트</b>: 입찰공고에 따라 입찰에 참가하기 위해서는 입찰참가 신청마감일까지 입찰참가 신청서와 함께 입찰금액의 100분의 5 이상에 해당하는 금액을 납부해야 한다. 다만 신용거래불량자, 계약 담당 공무원이 입찰보증금 납부가 필요하다고 결정한 경우 외에는 입찰보증금을 면제할 수 있다.<br><br><b>문제 연결</b>: 입찰보증금은 입찰금액의 100분의 5 이상이며, 계약보증금(계약금액의 100분의 10 이상)과 혼동하지 않아야 한다. 원칙적으로 면제가 가능한 점도 함께 기억해 두자.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제4장-입찰보증금-제출방법	subject_2 S2.M2.SB3.D3 numeric concept
[숫자 암기] 입찰참가 신청 시 납부해야 하는 입찰보증금의 기준으로 옳은 것은?<br><br>① 입찰금액의 100분의 5 이상<br>② 입찰금액의 100분의 10 이상<br>③ 입찰금액의 100분의 2 이상<br>④ 입찰금액의 100분의 20 이상	<b>정답</b>: ① 입찰금액의 100분의 5 이상<br><br>입찰보증금은 입찰금액의 100분의 5 이상이며, 계약보증금(계약금액의 100분의 10 이상)과 혼동하지 않아야 한다. 원칙적으로 면제가 가능한 점도 함께 기억해 두자.<br><br><b>근거</b>: 입찰공고에 따라 입찰에 참가하기 위해서는 입찰참가 신청마감일까지 입찰참가 신청서와 함께 입찰금액의 100분의 5 이상에 해당하는 금액을 납부해야 한다. 다만 신용거래불량자, 계약 담당 공무원이 입찰보증금 납부가 필요하다고 결정한 경우 외에는 입찰보증금을 면제할 수 있다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제4장-입찰보증금-제출방법	subject_2 S2.M2.SB3.D3 numeric source
입찰보증금 제출방법에서 조심할 선택지는?<br><br>입찰참가 신청 시 납부해야 하는 입찰보증금의 기준으로 옳은 것은?	① 입찰금액의 100분의 5 이상 — 입찰금액의 100분의 5 이상이라는 기준으로 정답이다.<br>② 입찰금액의 100분의 10 이상 — 100분의 10 이상은 계약보증금의 원칙적 기준이다.<br>③ 입찰금액의 100분의 2 이상 — 100분의 2는 규정된 기준이 아니다.<br>④ 입찰금액의 100분의 20 이상 — 100분의 20은 규정된 기준이 아니다.<br><br><b>난이도</b>: 함정	subject_2 S2.M2.SB3.D3 numeric trap
[핵심개념] 입찰·낙찰 방법별 평가위원회 구성에 대한 이해	<b>출제 포인트</b>: 평가위원회는 조달대상물과 관련된 산업계, 학계, 정부, 연구계 등 다양한 분야의 전문가로 구성되며, 입찰참가 기업과 이해충돌 관계가 없는 인물로 선정하는 절차가 일반적이다. 평가위원으로 참여하는 전문가는 평가 과정에서 획득한 정보는 철저하게 비밀을 유지해야 한다.<br><br><b>문제 연결</b>: 평가위원회는 외부 전문가를 포함해 다양한 분야로 구성하고 이해충돌이 없는 사람을 선정한다. 내부 인력만으로 평가할 경우 신뢰성·공정성 우려가 생기기 때문이다. 평가위원 풀에서 무작위 선정하는 방식도 운영된다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제5장-제2절-평가위원회-구성-및-이해충돌-방지	subject_2 S2.M3.SB2.D1 positive concept
