Front	Back	Tags
공정성 원칙 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 누구에게나 같은 룰로 경쟁하게 만드는 것이다."	chapter_2 principle fairness choice_elimination
투명성 원칙이란?	투명성은 조달 절차와 기준, 결과가 확인 가능하고 기록으로 남아 이해관계자가 검증할 수 있어야 한다는 원칙이다.<br><br><b>쉬운 말</b>: 왜 그렇게 샀는지 나중에 설명할 수 있게 남기는 것이다.<br><b>출처</b>: 공공조달의 이해 제2장 제1절	chapter_2 principle transparency definition
투명성 원칙에서 조심할 오답 함정은?	내부 결정만으로 충분하다는 설명은 투명성과 맞지 않는다.<br><br><b>복습 힌트</b>: 왜 그렇게 샀는지 나중에 설명할 수 있게 남기는 것이다.	chapter_2 principle transparency trap
투명성 원칙를 10초 안에 쉬운 말로 설명하면?	왜 그렇게 샀는지 나중에 설명할 수 있게 남기는 것이다.<br><br><b>시험 포인트</b>: 투명성은 조달 절차와 기준, 결과가 확인 가능하고 기록으로 남아 이해관계자가 검증할 수 있어야 한다는 원칙이다.	chapter_2 principle transparency adhd_short
공공조달의 이해 제2장 제1절의 핵심 키워드는?	<b>투명성 원칙</b><br>공공조달 원칙 및 방법<br>chapter_2, principle, transparency	chapter_2 principle transparency source_map
"시험장에서 ""투명성 원칙""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 왜 그렇게 샀는지 나중에 설명할 수 있게 남기는 것이다.<br><br><b>왜 중요한가</b>: 투명성은 조달 절차와 기준, 결과가 확인 가능하고 기록으로 남아 이해관계자가 검증할 수 있어야 한다는 원칙이다.	chapter_2 principle transparency exam_trigger
"다음 표현이 왜 위험할까?<br>""내부 결정만으로 충분하다는 설명은 투명성과 맞지 않는다."""	<b>위험한 이유</b>: 이 표현은 투명성 원칙의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 투명성은 조달 절차와 기준, 결과가 확인 가능하고 기록으로 남아 이해관계자가 검증할 수 있어야 한다는 원칙이다.	chapter_2 principle transparency wrong_phrase
투명성 원칙를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 투명성 원칙<br><b>연결 범위</b>: 공공조달 원칙 및 방법<br><b>암기 문장</b>: 왜 그렇게 샀는지 나중에 설명할 수 있게 남기는 것이다.	chapter_2 principle transparency keyword_anchor
투명성 원칙 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 왜 그렇게 샀는지 나중에 설명할 수 있게 남기는 것이다."	chapter_2 principle transparency choice_elimination
경쟁입찰이란?	경쟁입찰은 다수의 공급자가 정해진 조건에 따라 경쟁하도록 하여 적정 가격과 품질을 확보하는 대표적 조달 방법이다.<br><br><b>쉬운 말</b>: 여러 업체가 같은 조건에서 제안하게 하는 방식이다.<br><b>출처</b>: 공공조달의 이해 제2장 제2절	chapter_2 competition bidding definition
경쟁입찰에서 조심할 오답 함정은?	경쟁입찰은 항상 최저가 낙찰만 의미하지 않는다.<br><br><b>복습 힌트</b>: 여러 업체가 같은 조건에서 제안하게 하는 방식이다.	chapter_2 competition bidding trap
경쟁입찰를 10초 안에 쉬운 말로 설명하면?	여러 업체가 같은 조건에서 제안하게 하는 방식이다.<br><br><b>시험 포인트</b>: 경쟁입찰은 다수의 공급자가 정해진 조건에 따라 경쟁하도록 하여 적정 가격과 품질을 확보하는 대표적 조달 방법이다.	chapter_2 competition bidding adhd_short
공공조달의 이해 제2장 제2절의 핵심 키워드는?	<b>경쟁입찰</b><br>공공조달 원칙 및 방법<br>chapter_2, competition, bidding	chapter_2 competition bidding source_map
"시험장에서 ""경쟁입찰""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 여러 업체가 같은 조건에서 제안하게 하는 방식이다.<br><br><b>왜 중요한가</b>: 경쟁입찰은 다수의 공급자가 정해진 조건에 따라 경쟁하도록 하여 적정 가격과 품질을 확보하는 대표적 조달 방법이다.	chapter_2 competition bidding exam_trigger
"다음 표현이 왜 위험할까?<br>""경쟁입찰은 항상 최저가 낙찰만 의미하지 않는다."""	<b>위험한 이유</b>: 이 표현은 경쟁입찰의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 경쟁입찰은 다수의 공급자가 정해진 조건에 따라 경쟁하도록 하여 적정 가격과 품질을 확보하는 대표적 조달 방법이다.	chapter_2 competition bidding wrong_phrase
경쟁입찰를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 경쟁입찰<br><b>연결 범위</b>: 공공조달 원칙 및 방법<br><b>암기 문장</b>: 여러 업체가 같은 조건에서 제안하게 하는 방식이다.	chapter_2 competition bidding keyword_anchor
경쟁입찰 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 여러 업체가 같은 조건에서 제안하게 하는 방식이다."	chapter_2 competition bidding choice_elimination
비경쟁적 조달이란?	비경쟁적 조달은 법령상 요건이 충족되는 경우 제한적으로 경쟁 없이 특정 상대방과 계약하는 방식이다.<br><br><b>쉬운 말</b>: 아무 때나 지명해서 사는 것이 아니라 예외 사유가 있을 때만 쓰는 방식이다.<br><b>출처</b>: 공공조달의 이해 제2장 제3절	chapter_2 non_competitive exception definition
비경쟁적 조달에서 조심할 오답 함정은?	편의나 신속성만으로 수의계약을 정당화할 수 있다고 보면 위험하다.<br><br><b>복습 힌트</b>: 아무 때나 지명해서 사는 것이 아니라 예외 사유가 있을 때만 쓰는 방식이다.	chapter_2 non_competitive exception trap
비경쟁적 조달를 10초 안에 쉬운 말로 설명하면?	아무 때나 지명해서 사는 것이 아니라 예외 사유가 있을 때만 쓰는 방식이다.<br><br><b>시험 포인트</b>: 비경쟁적 조달은 법령상 요건이 충족되는 경우 제한적으로 경쟁 없이 특정 상대방과 계약하는 방식이다.	chapter_2 non_competitive exception adhd_short
공공조달의 이해 제2장 제3절의 핵심 키워드는?	<b>비경쟁적 조달</b><br>공공조달 원칙 및 방법<br>chapter_2, non_competitive, exception	chapter_2 non_competitive exception source_map
"시험장에서 ""비경쟁적 조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 아무 때나 지명해서 사는 것이 아니라 예외 사유가 있을 때만 쓰는 방식이다.<br><br><b>왜 중요한가</b>: 비경쟁적 조달은 법령상 요건이 충족되는 경우 제한적으로 경쟁 없이 특정 상대방과 계약하는 방식이다.	chapter_2 non_competitive exception exam_trigger
"다음 표현이 왜 위험할까?<br>""편의나 신속성만으로 수의계약을 정당화할 수 있다고 보면 위험하다."""	<b>위험한 이유</b>: 이 표현은 비경쟁적 조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 비경쟁적 조달은 법령상 요건이 충족되는 경우 제한적으로 경쟁 없이 특정 상대방과 계약하는 방식이다.	chapter_2 non_competitive exception wrong_phrase
비경쟁적 조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 비경쟁적 조달<br><b>연결 범위</b>: 공공조달 원칙 및 방법<br><b>암기 문장</b>: 아무 때나 지명해서 사는 것이 아니라 예외 사유가 있을 때만 쓰는 방식이다.	chapter_2 non_competitive exception keyword_anchor
비경쟁적 조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 아무 때나 지명해서 사는 것이 아니라 예외 사유가 있을 때만 쓰는 방식이다."	chapter_2 non_competitive exception choice_elimination
제한경쟁이란?	제한경쟁은 계약 목적과 성격상 필요한 자격이나 실적 등을 기준으로 참여 범위를 합리적으로 제한하는 경쟁 방식이다.<br><br><b>쉬운 말</b>: 아무나 참여시키기보다 필요한 능력이 있는 업체만 경쟁시키는 방식이다.<br><b>출처</b>: 공공조달의 이해 제2장 제2절	chapter_2 limited_competition definition
제한경쟁에서 조심할 오답 함정은?	제한경쟁은 특정 업체를 찍어주는 제도가 아니다.<br><br><b>복습 힌트</b>: 아무나 참여시키기보다 필요한 능력이 있는 업체만 경쟁시키는 방식이다.	chapter_2 limited_competition trap
제한경쟁를 10초 안에 쉬운 말로 설명하면?	아무나 참여시키기보다 필요한 능력이 있는 업체만 경쟁시키는 방식이다.<br><br><b>시험 포인트</b>: 제한경쟁은 계약 목적과 성격상 필요한 자격이나 실적 등을 기준으로 참여 범위를 합리적으로 제한하는 경쟁 방식이다.	chapter_2 limited_competition adhd_short
공공조달의 이해 제2장 제2절의 핵심 키워드는?	<b>제한경쟁</b><br>공공조달 원칙 및 방법<br>chapter_2, limited_competition	chapter_2 limited_competition source_map
"시험장에서 ""제한경쟁""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 아무나 참여시키기보다 필요한 능력이 있는 업체만 경쟁시키는 방식이다.<br><br><b>왜 중요한가</b>: 제한경쟁은 계약 목적과 성격상 필요한 자격이나 실적 등을 기준으로 참여 범위를 합리적으로 제한하는 경쟁 방식이다.	chapter_2 limited_competition exam_trigger
"다음 표현이 왜 위험할까?<br>""제한경쟁은 특정 업체를 찍어주는 제도가 아니다."""	<b>위험한 이유</b>: 이 표현은 제한경쟁의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 제한경쟁은 계약 목적과 성격상 필요한 자격이나 실적 등을 기준으로 참여 범위를 합리적으로 제한하는 경쟁 방식이다.	chapter_2 limited_competition wrong_phrase
제한경쟁를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 제한경쟁<br><b>연결 범위</b>: 공공조달 원칙 및 방법<br><b>암기 문장</b>: 아무나 참여시키기보다 필요한 능력이 있는 업체만 경쟁시키는 방식이다.	chapter_2 limited_competition keyword_anchor
제한경쟁 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 아무나 참여시키기보다 필요한 능력이 있는 업체만 경쟁시키는 방식이다."	chapter_2 limited_competition choice_elimination
계약 방법 선택이란?	계약 방법은 목적물의 성격, 시장 상황, 법령상 요건, 공정성과 효율성을 종합해 선택해야 한다.<br><br><b>쉬운 말</b>: 무엇을 사는지와 시장이 어떤지에 따라 맞는 방식을 고르는 것이다.<br><b>출처</b>: 공공조달의 이해 제2장	chapter_2 method_selection definition
계약 방법 선택에서 조심할 오답 함정은?	항상 같은 계약 방법을 적용한다고 이해하면 틀리기 쉽다.<br><br><b>복습 힌트</b>: 무엇을 사는지와 시장이 어떤지에 따라 맞는 방식을 고르는 것이다.	chapter_2 method_selection trap
계약 방법 선택를 10초 안에 쉬운 말로 설명하면?	무엇을 사는지와 시장이 어떤지에 따라 맞는 방식을 고르는 것이다.<br><br><b>시험 포인트</b>: 계약 방법은 목적물의 성격, 시장 상황, 법령상 요건, 공정성과 효율성을 종합해 선택해야 한다.	chapter_2 method_selection adhd_short
공공조달의 이해 제2장의 핵심 키워드는?	<b>계약 방법 선택</b><br>공공조달 원칙 및 방법<br>chapter_2, method_selection	chapter_2 method_selection source_map
"시험장에서 ""계약 방법 선택""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 무엇을 사는지와 시장이 어떤지에 따라 맞는 방식을 고르는 것이다.<br><br><b>왜 중요한가</b>: 계약 방법은 목적물의 성격, 시장 상황, 법령상 요건, 공정성과 효율성을 종합해 선택해야 한다.	chapter_2 method_selection exam_trigger
"다음 표현이 왜 위험할까?<br>""항상 같은 계약 방법을 적용한다고 이해하면 틀리기 쉽다."""	<b>위험한 이유</b>: 이 표현은 계약 방법 선택의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 계약 방법은 목적물의 성격, 시장 상황, 법령상 요건, 공정성과 효율성을 종합해 선택해야 한다.	chapter_2 method_selection wrong_phrase
계약 방법 선택를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 계약 방법 선택<br><b>연결 범위</b>: 공공조달 원칙 및 방법<br><b>암기 문장</b>: 무엇을 사는지와 시장이 어떤지에 따라 맞는 방식을 고르는 것이다.	chapter_2 method_selection keyword_anchor
계약 방법 선택 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 무엇을 사는지와 시장이 어떤지에 따라 맞는 방식을 고르는 것이다."	chapter_2 method_selection choice_elimination
전자조달이란?	전자조달은 조달 절차를 정보시스템으로 처리하여 효율성, 투명성, 접근성을 높이는 방식이다.<br><br><b>쉬운 말</b>: 입찰과 계약 관련 일을 온라인 시스템으로 처리하는 것이다.<br><b>출처</b>: 공공조달의 이해 제3장 제1절	chapter_3 e_procurement definition
전자조달에서 조심할 오답 함정은?	전자조달은 단순 게시판이나 문서 보관함만을 뜻하지 않는다.<br><br><b>복습 힌트</b>: 입찰과 계약 관련 일을 온라인 시스템으로 처리하는 것이다.	chapter_3 e_procurement trap
전자조달를 10초 안에 쉬운 말로 설명하면?	입찰과 계약 관련 일을 온라인 시스템으로 처리하는 것이다.<br><br><b>시험 포인트</b>: 전자조달은 조달 절차를 정보시스템으로 처리하여 효율성, 투명성, 접근성을 높이는 방식이다.	chapter_3 e_procurement adhd_short
공공조달의 이해 제3장 제1절의 핵심 키워드는?	<b>전자조달</b><br>전자조달시스템의 이해<br>chapter_3, e_procurement	chapter_3 e_procurement source_map
"시험장에서 ""전자조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 입찰과 계약 관련 일을 온라인 시스템으로 처리하는 것이다.<br><br><b>왜 중요한가</b>: 전자조달은 조달 절차를 정보시스템으로 처리하여 효율성, 투명성, 접근성을 높이는 방식이다.	chapter_3 e_procurement exam_trigger
"다음 표현이 왜 위험할까?<br>""전자조달은 단순 게시판이나 문서 보관함만을 뜻하지 않는다."""	<b>위험한 이유</b>: 이 표현은 전자조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 전자조달은 조달 절차를 정보시스템으로 처리하여 효율성, 투명성, 접근성을 높이는 방식이다.	chapter_3 e_procurement wrong_phrase
